time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
4634,500.27,2206,78,19.254051208496094,10223616,0.2,36.87770379781723,0.0016327112,0.06519317626953125,-0.0024217092681737993,0.05537974461913109,0.5190032687736675,0.9049423933029175,4.444444444444445e-06,0.1,0.9005429148674011,770,4.444444444444445e-06
4700,480.84,2202,79,18.716062545776367,10354688,0.2,36.85321476757527,0.0016208559,0.061756134033203125,-0.002441516190265247,0.05543171986937523,0.49498260545078665,0.848273754119873,4.444444444444445e-06,0.1,0.905592679977417,780,4.444444444444445e-06
4761,505.16,2202,80,19.57256317138672,10485760,0.2,36.82821529507637,0.001715861,0.06882476806640625,-0.002590364284878888,0.05549002066254616,0.48431937720160934,0.8336645364761353,4.444444444444445e-06,0.1,0.9070659875869751,790,4.444444444444445e-06
4820,506.11,2202,81,19.59294891357422,10616832,0.2,36.80310440957546,0.0016777525,0.06800308227539062,-0.0026561896138446173,0.05554348975419998,0.46760271801613273,0.7723734974861145,4.444444444444445e-06,0.1,0.9088727235794067,800,4.444444444444445e-06
4879,508.72,2202,82,19.78403091430664,10747904,0.2,36.77914991676808,0.0017489706,0.07100067138671876,-0.002688701344777655,0.055596187710762024,0.4981066118227318,0.845026969909668,4.444444444444445e-06,0.1,0.904570460319519,810,4.444444444444445e-06
4939,538.82,2202,83,20.894567489624023,10878976,0.2,36.75309818983078,0.0017523306,0.0699737548828125,-0.002648255408530531,0.05565865337848663,0.5306943335104733,0.8996853828430176,4.444444444444445e-06,0.1,0.8959386944770813,820,4.444444444444445e-06
4998,535.41,2202,84,20.800277709960938,11010048,0.2,36.72534689605236,0.0015973891,0.060970306396484375,-0.0023157341247497243,0.05572059005498886,0.49253446743823587,0.8615038990974426,4.444444444444445e-06,0.1,0.8958622217178345,830,4.444444444444445e-06
5057,565.86,2202,85,21.893896102905273,11141120,0.2,36.69898868203163,0.0017376067,0.06934661865234375,-0.002711915089503236,0.055776190012693405,0.5075182871427387,0.8485313653945923,4.444444444444445e-06,0.1,0.8946013450622559,840,4.444444444444445e-06
5117,533.02,2202,86,20.855649948120117,11272192,0.2,36.674171534180644,0.0017460503,0.07102508544921875,-0.0027909020547213005,0.055831875652074814,0.5132166140479967,0.8697378635406494,4.444444444444445e-06,0.1,0.8973024487495422,850,4.444444444444445e-06
5178,537.43,2202,87,20.66244888305664,11403264,0.2,36.64659413099289,0.0016677831,0.0675323486328125,-0.0025618699251481305,0.055898405611515045,0.5222040209686384,0.8294894695281982,4.444444444444445e-06,0.1,0.901626706123352,860,4.444444444444445e-06
5241,508.71,2200,88,19.966306686401367,11534336,0.2,36.61905648112297,0.0016332144,0.06561431884765626,-0.0024558144798902505,0.055955152958631516,0.5680204089730978,0.9140264391899109,4.444444444444445e-06,0.1,0.8973015546798706,870,4.444444444444445e-06
5302,484.3,2199,89,19.1171875,11665408,0.2,36.59241079390049,0.0017551287,0.07117996215820313,-0.0027862776159054193,0.05601762607693672,0.5424461873713881,0.9151197671890259,4.444444444444445e-06,0.1,0.90114426612854,880,4.444444444444445e-06
5365,495.04,2198,90,19.26634407043457,11796480,0.2,36.564841848611835,0.0017345306,0.06892547607421876,-0.00246834468380257,0.05607864260673523,0.5754987933672965,0.9525609016418457,4.444444444444445e-06,0.1,0.8954405188560486,890,4.444444444444445e-06
5433,446.58,2195,91,17.58909797668457,11927552,0.2,36.53907180726528,0.0017769139,0.073236083984375,-0.002607858906185356,0.0561334528028965,0.6138145434204489,0.9235860705375671,4.444444444444445e-06,0.1,0.8920114636421204,900,4.444444444444445e-06
